,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1269,0.34%,0.40%,0.40%,0.42%,0.29%,0.30%,0.37%,0.37%,0.31%,0.47%,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,0.25%,0.48%,0.24%,0.43%,0.08%,0.25%,0.37%,0.43%,0.36%,0.64%,0.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,0.23%,0.35%,0.34%,0.34%,0.24%,0.29%,0.34%,0.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,0.18%,0.25%,0.24%,0.28%,0.17%,0.23%,0.26%,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,0.23%,0.30%,0.28%,0.31%,0.19%,0.24%,0.28%,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,0.15%,0.24%,0.26%,0.36%,0.18%,0.21%,0.30%,0.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,0.15%,0.22%,0.25%,0.29%,0.17%,0.22%,0.26%,0.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,0.29%,0.32%,0.34%,0.33%,0.20%,0.27%,0.30%,0.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,0.12%,0.18%,0.14%,0.18%,0.16%,0.19%,0.19%,0.19%,0.17%,0.17%,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,0.11%,0.14%,0.13%,0.18%,0.16%,0.16%,0.18%,0.18%,0.16%,0.15%,0.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,0.13%,0.16%,0.15%,0.17%,0.13%,0.14%,0.17%,0.19%,0.17%,0.14%,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
